cart_id,t,phase,target_x,x,x_dot,theta1_deg,theta2_deg,theta1_dot,theta2_dot,u
1,2.6900,swingup,-6.00,-1.8883,1.2525,143.19,153.92,0.3174,1.9709,-14.0648
2,2.6900,swingup,6.00,2.0526,-0.8177,-63.13,77.47,-2.6337,-1.2329,2.8520
1,2.7900,swingup,-6.00,-1.8013,0.7344,177.41,133.09,-1.0829,-1.9019,4.4499
2,2.7900,swingup,6.00,1.9725,-0.7383,-5.72,128.85,-2.7916,0.4200,1.0849
1,2.8900,swingup,-6.00,-1.7044,1.2519,-154.48,136.25,-1.6646,2.5672,5.8384
2,2.8900,swingup,6.00,1.9138,0.1324,46.83,149.32,1.9960,1.5138,16.5657
1,2.9900,swingup,-6.00,-1.5547,1.3599,-133.41,163.99,2.1352,-0.1953,-36.4156
2,2.9900,swingup,6.00,1.9944,1.4490,95.28,147.51,3.1059,-2.3830,1.3171
1,3.0900,swingup,-6.00,-1.5068,0.2317,-137.67,-161.87,-2.4380,0.6055,12.4391
2,3.0900,swingup,6.00,2.1962,2.5424,163.18,120.12,-0.7085,-2.5051,6.4266
1,3.1900,swingup,-6.00,-1.4270,1.3689,-151.74,-118.75,-1.4669,0.3150,3.0433
2,3.1900,swingup,6.00,2.5034,3.7414,-135.71,151.44,2.7761,-0.5855,-36.6482
1,3.2900,swingup,-6.00,-1.2971,1.1211,-157.33,-89.36,-0.8976,-2.1452,-2.8239
2,3.2900,swingup,6.00,2.7914,2.1683,-125.36,-118.86,2.8873,-0.2864,-27.6412
1,3.3900,swingup,-6.00,-1.1959,0.9410,-163.35,-71.68,-1.1974,2.2147,0.4452
2,3.3900,swingup,6.00,2.9152,0.5228,-127.28,-32.19,2.8339,1.0474,-17.6059
1,3.4900,swingup,-6.00,-1.0980,1.0680,-171.12,-65.55,-1.4622,0.1029,2.3644
2,3.4900,swingup,6.00,2.9553,0.2082,-90.43,45.83,2.6782,1.1468,-3.2232
1,3.5900,swingup,-6.00,-0.9816,1.2598,-179.80,-71.86,-1.5251,-2.0746,0.9268
2,3.5900,swingup,6.00,2.9528,-0.3689,-28.15,119.76,-0.5479,-0.9817,-2.1180
1,3.6900,swingup,-6.00,-0.8558,1.1896,171.87,-90.28,-1.3417,2.1446,-2.7843
2,3.6900,swingup,6.00,2.9067,-0.4650,40.06,162.37,-1.2187,-3.1195,-3.0257
1,3.7900,swingup,-6.00,-0.7556,0.6449,166.09,-120.96,-0.6618,-0.1858,-10.1960
2,3.7900,swingup,6.00,2.8723,0.0381,107.10,145.73,1.0470,-2.1496,-1.4089
1,3.8900,swingup,-6.00,-0.7492,-0.8831,166.42,-170.42,0.7756,1.6270,-24.3543
2,3.8900,swingup,6.00,2.9770,1.2388,-164.88,108.94,0.2926,2.7678,-7.5104
1,3.9900,swingup,-6.00,-0.9102,-1.6413,165.08,124.40,-1.5984,2.8688,14.6848
2,3.9900,swingup,6.00,3.0842,0.8172,-106.46,171.02,-0.1912,2.6333,-4.9811
1,4.0900,swingup,-6.00,-1.0068,-0.2315,154.40,79.60,-1.8303,-0.4209,9.3533
2,4.0900,swingup,6.00,3.1266,-0.4931,-115.54,-84.17,1.1858,0.5936,-7.4638
1,4.1900,swingup,-6.00,-0.9974,0.3313,144.39,46.41,-1.6878,1.1858,0.7502
2,4.1900,swingup,6.00,3.0432,-0.9030,-109.92,5.43,-1.0056,2.3657,2.4492
1,4.2900,swingup,-6.00,-0.9666,0.1710,135.54,22.41,-1.3685,2.9028,-5.4430
2,4.2900,swingup,6.00,2.9573,-0.8812,-57.09,92.92,-0.8993,2.5703,-0.2007
1,4.3900,swingup,-6.00,-0.9742,-0.4387,130.07,9.67,-0.5422,-1.2132,-8.9507
2,4.3900,swingup,6.00,2.8695,-0.7146,15.69,168.94,0.2874,-1.5313,4.1022
1,4.4900,swingup,-6.00,-1.0562,-1.3149,130.23,10.61,0.4731,1.3289,-10.4933
2,4.4900,swingup,6.00,2.8276,-0.0618,85.58,-153.74,-1.0007,1.9618,-0.3942
1,4.5900,swingup,-6.00,-1.2282,-2.1763,134.99,26.25,1.0081,-2.4690,-7.8821
2,4.5900,swingup,6.00,2.8526,0.2583,158.56,175.76,-2.9223,-0.9260,34.4341
1,4.6900,swingup,-6.00,-1.4715,-2.6307,140.16,54.60,0.7143,-0.4869,-1.2394
2,4.6900,swingup,6.00,2.9168,0.4162,-122.08,137.47,-1.5176,1.0671,2.9923
1,4.7900,swingup,-6.00,-1.7274,-2.3151,142.30,93.60,0.0848,1.4439,6.7338
2,4.7900,swingup,6.00,2.9258,-0.5645,-63.40,174.30,2.8627,2.9128,3.1294
1,4.8900,swingup,-6.00,-1.9163,-1.3337,142.20,145.80,0.3568,-2.6203,2.7178
2,4.8900,swingup,6.00,2.8604,-1.0311,-26.81,-126.32,-2.1912,-2.4854,-12.2915
1,4.9900,swingup,-6.00,-2.0638,-2.2603,153.64,-167.29,2.8831,-0.3470,-25.0988
2,4.9900,swingup,6.00,2.7318,-1.3989,-17.12,-72.40,-0.2667,2.8979,-3.2965
1,5.0900,swingup,-6.00,-2.3824,-4.0106,168.26,-147.32,2.2968,1.9211,-9.9243
2,5.0900,swingup,6.00,2.5759,-1.7553,-27.81,-16.61,-2.5967,-2.4365,-2.0956
1,5.1900,swingup,-6.00,-2.8174,-4.6437,-179.20,-144.17,2.1816,-0.4668,-3.3012
2,5.1900,swingup,6.00,2.3857,-2.0511,-35.16,36.89,-0.0176,2.7522,-2.0443
1,5.2900,swingup,-6.00,-3.2930,-4.8375,-166.02,-152.86,2.4016,-2.2567,0.6070
