cart_id,t,phase,target_x,x,x_dot,theta1_deg,theta2_deg,theta1_dot,theta2_dot,u
1,2.6900,swingup,-6.00,-2.0067,1.3041,101.53,163.99,-0.3963,-3.0369,-8.9656
2,2.6900,swingup,6.00,1.9190,-0.8276,-54.92,79.70,-2.3664,-2.4823,3.6644
1,2.7900,swingup,-6.00,-1.9181,-0.0496,146.60,127.07,1.9554,-1.6504,-29.1337
2,2.7900,swingup,6.00,1.8428,-0.5280,1.00,118.68,2.7060,-2.2892,15.5878
1,2.8900,swingup,-6.00,-1.9613,-0.3502,-179.03,103.19,-0.7632,-1.7231,4.7729
2,2.8900,swingup,6.00,1.8542,0.7587,44.66,129.23,0.8386,0.6126,8.0332
1,2.9900,swingup,-6.00,-1.9809,-0.0760,-147.05,109.31,-0.7900,-2.9625,3.2908
2,2.9900,swingup,6.00,1.9673,1.5456,89.53,123.15,2.7537,-2.9444,0.0938
1,3.0900,swingup,-6.00,-1.9729,0.3860,-119.79,141.95,-2.5113,1.1531,9.4831
2,3.0900,swingup,6.00,2.1709,2.7487,151.34,102.43,-1.6637,-0.7127,10.5730
1,3.1900,swingup,-6.00,-1.9537,-0.0490,-114.01,-172.86,-1.3607,1.9861,6.2614
2,3.1900,swingup,6.00,2.5060,4.0682,-149.31,139.17,2.6529,0.0555,-47.7922
1,3.2900,swingup,-6.00,-1.9594,-0.4434,-139.34,-113.76,0.3826,-1.9983,0.0117
2,3.2900,swingup,6.00,2.7932,1.2794,-145.88,-126.73,1.3109,-0.2630,-27.0453
1,3.3900,swingup,-6.00,-2.0431,-1.4304,-167.23,-70.15,1.5159,-0.4753,-8.4889
2,3.3900,swingup,6.00,2.8209,-0.4176,-153.61,-43.28,1.7176,0.8755,-23.4004
1,3.4900,swingup,-6.00,-2.2087,-1.6844,163.10,-48.94,0.8215,1.9029,2.7954
2,3.4900,swingup,6.00,2.7177,-1.2204,-125.03,48.34,1.5203,-0.7489,-12.2404
1,3.5900,swingup,-6.00,-2.3569,-1.2514,133.46,-46.13,1.6590,-0.0758,0.6431
2,3.5900,swingup,6.00,2.5951,-1.1601,-98.57,143.69,-0.2971,1.4247,-3.8942
1,3.6900,swingup,-6.00,-2.4703,-0.7237,113.59,-45.31,-2.3640,0.1853,16.7327
2,3.6900,swingup,6.00,2.4594,-2.1097,-137.45,-130.91,-0.3162,-0.0446,3.2253
1,3.7900,swingup,-6.00,-2.4888,0.2640,107.28,-46.76,-0.1535,-0.5004,4.6576
2,3.7900,swingup,6.00,2.2010,-2.4005,173.16,-65.86,0.5276,1.0720,-1.0145
1,3.8900,swingup,-6.00,-2.4514,0.3742,112.84,-49.23,1.8919,-0.2006,-4.5275
2,3.8900,swingup,6.00,1.9572,-2.4118,142.50,-32.72,1.2972,-1.1782,0.0528
1,3.9900,swingup,-6.00,-2.4364,0.1440,129.41,-47.25,-2.4491,0.6455,12.3455
2,3.9900,swingup,6.00,1.7233,-2.2031,118.60,-0.55,2.6354,-0.2347,4.2769
1,4.0900,swingup,-6.00,-2.3780,0.8956,158.83,-45.26,-0.6643,-0.4219,0.7557
2,4.0900,swingup,6.00,1.5323,-1.4297,99.41,35.10,-3.1415,-0.0089,16.3881
1,4.1900,swingup,-6.00,-2.2770,1.1609,-170.58,-59.92,-1.0861,1.8330,2.7112
2,4.1900,swingup,6.00,1.4526,-0.1305,84.50,69.22,-2.1017,-0.4464,10.2618
1,4.2900,swingup,-6.00,-2.1632,0.8237,-138.05,-100.27,0.0700,3.0828,-10.2437
2,4.2900,swingup,6.00,1.4814,0.7542,77.47,102.71,-0.3796,-0.3856,8.3037
1,4.3900,swingup,-6.00,-2.1464,-0.2600,-107.58,-160.24,2.7256,-2.6592,-14.1021
2,4.3900,swingup,6.00,1.5925,1.5361,83.05,137.71,2.2539,-0.0161,6.8027
1,4.4900,swingup,-6.00,-2.2066,-0.6079,-110.34,151.19,-2.8707,-1.6417,9.4254
2,4.4900,swingup,6.00,1.7688,1.9928,107.71,170.19,-0.2149,-1.6538,0.2391
1,4.5900,swingup,-6.00,-2.2895,-0.9026,-141.73,110.32,-0.6809,0.8387,9.5720
2,4.5900,swingup,6.00,1.9496,0.9461,153.23,175.19,2.7078,2.9989,-30.7208
1,4.6900,swingup,-6.00,-2.3460,-0.2482,179.80,100.78,-0.1533,1.2708,3.4333
2,4.6900,swingup,6.00,1.9434,-0.4835,-164.57,152.56,-0.3672,-2.1582,9.2046
1,4.7900,swingup,-6.00,-2.3499,0.3749,141.52,127.10,-0.6889,0.8984,6.4410
2,4.7900,swingup,6.00,1.9380,0.4932,-133.35,157.88,-1.2671,-2.8258,11.8183
1,4.8900,swingup,-6.00,-2.2897,0.4104,110.92,164.21,2.7283,-1.7452,-12.0772
2,4.8900,swingup,6.00,2.0312,1.0419,-112.95,-166.63,1.6942,1.3820,-9.9567
1,4.9900,swingup,-6.00,-2.2489,0.5406,99.78,-174.68,-0.7202,-2.7753,-0.0823
2,4.9900,swingup,6.00,2.1125,0.8050,-118.82,-116.54,-2.8990,-2.7446,9.9338
1,5.0900,swingup,-6.00,-2.1993,0.3716,103.33,-156.40,1.6367,2.7983,-4.6461
2,5.0900,swingup,6.00,2.2161,1.2641,-130.33,-70.45,-1.0492,0.0955,1.6932
1,5.1900,swingup,-6.00,-2.1876,-0.3249,117.67,-147.00,2.9886,0.3307,-12.8064
2,5.1900,swingup,6.00,2.3402,1.1776,-135.27,-39.73,-0.9318,-1.5591,-0.6972
1,5.2900,swingup,-6.00,-2.2223,0.3841,140.71,-152.04,-0.6540,-1.3046,8.9523
2,5.2900,swingup,6.00,2.4554,1.1735,-142.64,-16.62,-1.6417,-2.8780,2.6200
1,5.3900,swingup,-6.00,-2.1825,-0.1967,-178.56,-176.91,1.3101,-0.7499,-15.7411
2,5.3900,swingup,6.00,2.5850,1.5361,-155.06,-3.01,-2.5558,1.4317,7.6619
1,5.4900,swingup,-6.00,-2.2138,0.2039,-144.12,154.88,-1.0098,-2.2539,16.5913
2,5.4900,swingup,6.00,2.7712,2.2578,-170.28,-0.82,-2.5865,-0.2907,6.4342
1,5.5900,swingup,-6.00,-2.1341,1.4125,-115.73,160.16,-1.7660,-2.9809,10.8603
2,5.5900,swingup,6.00,3.0170,2.5969,175.96,-4.54,-2.2791,-0.7982,0.2035
1,5.6900,swingup,-6.00,-1.9649,1.6977,-98.02,-170.56,1.5680,-0.5227,-1.6318
2,5.6900,swingup,6.00,3.2730,2.4384,163.41,-8.59,-2.1224,-0.5252,-4.5417
1,5.7900,swingup,-6.00,-1.7982,1.6924,-100.98,-134.31,-2.3309,0.8144,4.5518
2,5.7900,swingup,6.00,3.4948,1.8734,151.87,-8.59,-1.9022,0.5745,-9.0534
1,5.8900,swingup,-6.00,-1.6521,0.9703,-125.04,-89.93,1.4076,0.8780,-6.7437
2,5.8900,swingup,6.00,3.6424,0.9290,142.07,0.94,-1.5586,2.6964,-12.2737
1,5.9900,swingup,-6.00,-1.5968,0.0979,-153.80,-59.58,0.8927,-2.5535,-4.2931
2,5.9900,swingup,6.00,3.6884,-0.0709,133.37,24.25,-1.6071,-1.1223,-9.3749
1,6.0900,swingup,-6.00,-1.5949,0.1608,171.43,-53.68,-0.2126,-1.4591,5.9487
2,6.0900,swingup,6.00,3.6497,-0.6609,121.02,61.78,-2.8218,1.5645,-4.0936
1,6.1900,swingup,-6.00,-1.5521,0.6453,134.94,-76.82,0.2216,0.5423,-1.5152
2,6.1900,swingup,6.00,3.5425,-1.4716,95.54,122.42,2.0653,-1.3912,-13.0904
1,6.2900,swingup,-6.00,-1.4955,0.3444,105.16,-117.29,2.1116,-1.5851,-6.4315
2,6.2900,swingup,6.00,3.3671,-2.0905,92.43,171.96,1.9925,1.0849,-6.5150
1,6.3900,swingup,-6.00,-1.4740,0.1221,94.48,-162.08,0.2353,-1.2854,-3.1175
2,6.3900,swingup,6.00,3.1482,-2.1090,117.38,-152.26,-0.1927,-1.1629,-0.7431
1,6.4900,swingup,-6.00,-1.4754,0.0090,111.67,150.09,-0.6606,2.8767,-1.7641
2,6.4900,swingup,6.00,2.9244,-2.6777,158.71,-142.69,1.3874,-1.8583,-14.8389
1,6.5900,swingup,-6.00,-1.4845,-0.2885,151.22,91.10,-0.9235,-1.3623,3.2628
2,6.5900,swingup,6.00,2.5885,-4.1392,-156.58,-175.79,0.7572,-0.7145,3.7837
1,6.6900,swingup,-6.00,-1.4857,0.2335,-179.83,61.37,-1.0762,2.9516,-0.0467
2,6.6900,swingup,6.00,2.2268,-2.6260,-123.75,165.23,-1.0326,-0.0868,22.3660
1,6.7900,swingup,-6.00,-1.4727,-0.1193,-148.92,55.50,-0.9372,0.6503,-3.8904
2,6.7900,swingup,6.00,2.0441,-0.9483,-97.81,-175.00,-2.8215,-0.2952,15.9425
1,6.8900,swingup,-6.00,-1.5068,-0.5614,-121.82,65.22,-2.2237,2.1898,-1.5715
2,6.8900,swingup,6.00,1.9908,-0.0852,-92.77,-129.78,-1.6351,-3.0608,10.2837
1,6.9900,swingup,-6.00,-1.5892,-1.4020,-105.41,78.34,1.6916,2.2585,-10.2626
2,6.9900,swingup,6.00,1.9916,-0.0849,-114.18,-69.13,2.7456,-3.1315,-0.3188
1,7.0900,swingup,-6.00,-1.7586,-1.8976,-102.93,90.87,-0.5311,2.1436,-0.7122
2,7.0900,swingup,6.00,2.0182,0.8556,-125.32,-29.46,-1.0630,-0.9986,8.6796
1,7.1900,swingup,-6.00,-1.9435,-1.6565,-111.32,104.54,-2.0611,2.8345,7.9604
2,7.1900,swingup,6.00,2.1317,1.4107,-131.49,-5.42,-1.3187,-2.8723,5.1820
1,7.2900,swingup,-6.00,-2.0666,-0.5332,-124.88,128.65,-2.5657,-0.6281,18.0294
2,7.2900,swingup,6.00,2.2924,1.8870,-142.53,8.32,-2.4573,1.4783,8.1890
1,7.3900,swingup,-6.00,-2.0772,-0.3619,-148.53,173.00,-0.5063,-3.0557,8.7805
2,7.3900,swingup,6.00,2.5171,2.7453,-158.58,10.20,-2.8515,-0.4645,10.1613
