t,phase,target_x,x,x_dot,theta1_deg,theta2_deg,theta1_dot,theta2_dot,u,ke,pe
5.1900,swingup,3.00,0.4055,3.2773,-172.61,-161.70,-1.0498,-1.4421,-0.7975,0.0907,-2.9100
5.2900,swingup,3.00,0.7275,3.1363,-178.86,-172.22,-1.1283,-2.1223,-1.6797,0.1476,-2.9383
5.3900,swingup,3.00,1.0331,2.9586,174.32,174.43,-1.2506,-2.4264,-1.9801,0.1885,-2.9359
5.4900,swingup,3.00,1.3214,2.7908,166.69,160.99,-1.3970,-2.2032,-2.2528,0.1860,-2.8899
5.5900,swingup,3.00,1.5922,2.5930,158.30,150.10,-1.5093,-1.6264,-3.3580,0.1508,-2.8082
5.6900,swingup,3.00,1.8385,2.2740,149.47,142.79,-1.5557,-1.0014,-5.3709,0.1117,-2.7072
5.7900,swingup,3.00,2.0446,1.7605,140.69,138.49,-1.4912,-0.5980,-8.0160,0.0823,-2.5978
5.8900,swingup,3.00,2.1890,1.0150,132.83,135.26,-1.2413,-0.6002,-10.7252,0.0616,-2.4868
5.9900,swingup,3.00,2.2493,0.0710,127.07,130.86,-0.7862,-0.9308,-12.4024,0.0445,-2.3838
6.0900,swingup,3.00,2.2106,-0.9442,124.28,124.58,-0.2448,-1.1827,-12.2452,0.0262,-2.3024
6.1900,swingup,3.00,2.0730,-1.8765,124.38,118.26,0.2146,-0.9523,-10.5239,0.0074,-2.2577
6.2900,swingup,3.00,1.8496,-2.6385,126.79,114.88,0.5783,-0.2361,-8.3897,0.0057,-2.2653
6.3900,swingup,3.00,1.5578,-3.2336,131.13,116.50,0.9000,0.7268,-6.7224,0.0427,-2.3357
6.4900,swingup,3.00,1.2125,-3.6982,137.15,123.89,1.1642,1.7453,-5.5063,0.1214,-2.4642
6.5900,swingup,3.00,0.8256,-4.0634,144.53,136.75,1.3858,2.6081,-4.7372,0.2226,-2.6277
6.6900,swingup,3.00,0.4045,-4.3960,153.22,153.21,1.6282,2.9926,-4.7956,0.3000,-2.7851
6.7900,swingup,3.00,-0.0518,-4.7768,163.26,169.70,1.8425,2.6895,-4.7466,0.2984,-2.8936
6.8900,swingup,3.00,-0.5463,-5.1281,174.20,-177.06,1.9511,1.9755,-2.8758,0.2392,-2.9373
6.9900,swingup,3.00,-1.0680,-5.2763,-174.37,-167.97,2.0330,1.2993,0.2960,0.1901,-2.9275
7.0900,swingup,3.00,-1.5915,-5.1239,-162.42,-161.80,2.1284,0.9640,4.2306,0.1762,-2.8727
7.1900,swingup,3.00,-2.0836,-4.5963,-149.97,-155.85,2.2018,1.1980,9.1533,0.2047,-2.7684
7.2900,swingup,3.00,-2.5032,-3.6197,-137.36,-146.48,2.1765,2.0818,14.8366,0.2845,-2.6021
7.3900,swingup,3.00,-2.8049,-2.2164,-125.45,-130.89,1.9757,-3.0722,17.3543,0.0645,-2.3615
7.4900,swingup,3.00,-2.9612,-0.7412,-115.21,-111.18,1.6799,-2.8699,19.0213,0.0533,-2.0665
7.5900,swingup,3.00,-2.9680,0.7399,-106.04,-94.62,1.5068,2.3314,17.3164,0.2108,-1.7821
7.6900,swingup,3.00,-2.8346,2.0099,-99.21,-85.56,0.8389,1.0015,13.5405,0.0505,-1.5906
7.7900,swingup,3.00,-2.5878,2.9617,-97.96,-83.13,-0.3394,-0.0004,9.2409,0.0029,-1.5487
